ACCOUNT,RN,COMPANY,SITE,COUNTY,REGION,SIC,SIC DESCRIPTION,REPORTING YEAR,CO TPY,NOX TPY,Pb TPY,PM10 TPY,PM2.5 TPY,SO2 TPY,VOC TPY
BFA007G,RN106392871,REYNOLDS CONSUMER PRODUCTS LLC,REYNOLDS TEMPLE PLANT,BELL,9,3086,"PLASTICS, FOAM PRODUCTS",2020,0.2059,0.3519,0,2.4579,0.101,0.0107,0.5483
BG0045E,RN100211507,CAPITOL AGGREGATES INC,PORTLAND CEMENT,BEXAR,13,3241,"CEMENT, HYDRAULIC",2020,556.3699,863.9269,0.0067,79.4637,46.757,361.7697,51.1738
BG0057U,RN100217975,CITY PUBLIC SERVICE BOARD,CALAVERAS PLANT,BEXAR,13,4911,ELECTRIC SERVICES,2020,720.5004,3349.8155,0.0577,314.4696,197.0941,758.1322,58.0115
BG0059Q,RN100217439,CITY PUBLIC SERVICE BOARD,LEON CREEK PLANT,BEXAR,13,4911,ELECTRIC SERVICES,2020,6.7903,12.1968,0,3.4465,3.4414,3.8974,2.1828
BG0063C,RN102071131,NUSTAR LOGISTICS LP,SAN ANTONIO TERMINAL EAST,BEXAR,13,5171,PETROLEUM BULK STATIONS & TERMINALS,2020,11.2454,4.2931,0,0.2333,0.2333,0,41.0208
BG0064A,RN100668573,ENTERPRISE HYDROCARBONS LP,SAN MARTIN GAS PLANT,BEXAR,13,1321,NATURAL GAS LIQUIDS,2020,11.8946,108.3759,0,1.9665,1.9665,0.9429,2.5984
BG0075S,RN100542729,US DEPT OF AIR FORCE,JBSA LACKLAND,BEXAR,13,9711,NATIONAL SECURITY,2020,18.6249,18.6185,0.015,2.2835,1.9872,0.3377,10.2062
BG0083T,RN101677003,EXXONMOBIL PIPELINE COMPANY,SAN ANTONIO TERMINAL,BEXAR,13,5171,PETROLEUM BULK STATIONS & TERMINALS,2020,0,0,0,0.0394,0.0394,0,24.54
BG0098G,RN101073013,CITGO PETROLEUM CORPORATION,CITGO SAN ANTONIO TERMINAL,BEXAR,13,5171,PETROLEUM BULK STATIONS & TERMINALS,2020,0,0,0,0,0,0,26.8696
BG0103P,RN101485183,THE SAN ANTONIO REFINERY LLC,PETROLEUM REFINERY,BEXAR,13,2911,PETROLEUM REFINING,2020,50.023,38.5661,0,5.1805,5.179,7.1613,80.8671
BG0170A,RN100220094,US DEPT OF AIR FORCE,JBSA RANDOLPH,BEXAR,13,9711,NATIONAL SECURITY,2020,9.5503,7.151,0,1.0717,0.9028,0.1562,1.011
BG0186I,RN100217835,CITY PUBLIC SERVICE BOARD,VH BRAUNIG PLANT,BEXAR,13,4911,ELECTRIC SERVICES,2020,153.31,857.11,0.0017,100.69,100.61,9.41,51.75
BG0210N,RN102301280,THE SAN ANTONIO REFINERY LLC,ELEMENDORF TERMINAL,BEXAR,13,5171,PETROLEUM BULK STATIONS & TERMINALS,2020,0,0,0,0,0,0,13.731
BG0218U,RN100519214,MOTIVA ENTERPRISES LLC,SAN ANTONIO MARKET TERMINAL,BEXAR,13,5171,PETROLEUM BULK STATIONS & TERMINALS,2020,0.3545,0.1418,0,0.0058,0.0058,0,27.822
BG0252U,RN101478238,NELSON GARDENS ENERGY LLC,NELSON GARDENS,BEXAR,13,4953,REFUSE SYSTEMS,2020,62.9868,11.26,0,0.716,0.716,5.9528,10.179
BG0253S,RN102310901,NUSTAR LOGISTICS LP,SAN ANTONIO SOUTH TERMINAL,BEXAR,13,5171,PETROLEUM BULK STATIONS & TERMINALS,2020,1.0655,2.6361,0,0,0,0,26.3623
BG0259G,RN100220474,ALAMO CEMENT COMPANY,1604 PLANT,BEXAR,13,3241,"CEMENT, HYDRAULIC",2020,419.86,2111.4,0.0016,82.7284,25.8853,3.4699,47.4976
BG0346K,RN100222983,SOUTHWEST RESEARCH INSTITUTE,SOUTHWEST RESEARCH INSTITUTE,BEXAR,13,8733,NONCOMMERCIAL RESEARCH ORGANANIZATIONS,2020,38.5402,66.756,0,1.2268,1.2268,5.0156,54.3685
BG0406R,RN100579069,TJ TEXAS INC,WESTOVER HILLS,BEXAR,13,3674,SEMICONDUCTORS AND RELATED DEVICES,2020,1.7979,4.42,0,0.268,0.268,0.654,7.2089
BG0488M,RN101058733,FLINT HILLS RESOURCES CORPUS CHRISTI LLC,SAN ANTONIO TERMINAL,BEXAR,13,5171,PETROLEUM BULK STATIONS & TERMINALS,2020,0.9635,0.386,0,0,0,0,22.3569
BG0526G,RN102459393,INTERTEK AUTOMOTIVE RESEARCH,INTERTEK AUTOMOTIVE RESEARCH,BEXAR,13,8734,TESTING LABORATORIES,2020,64.0436,31.7227,0,0.4165,0.4165,2.1702,5.5333
BG0535F,RN100221373,ARCONIC TECHNOLOGIES LLC,SAN ANTONIO WORKS,BEXAR,13,3353,ALUMINUM SHEET PLATE & FOIL,2020,0.3542,0.4979,0,0.0374,0.0374,0.0092,0.0392
BG0579I,RN100852615,WIN SAM INC,UTSA CENTRAL ENERGY PLANT,BEXAR,13,4939,COMBINATION UTILITY NEC,2020,7.1693,4.7701,0,19.714,0.8018,0.1028,0.5981
BG0734U,RN100212422,BFI WASTE SYSTEMS OF NORTH AMERICA INC,TESSMAN ROAD LANDFILL,BEXAR,13,4953,REFUSE SYSTEMS,2020,60.24,18.07,0,59.272,35.751,39.36,24.3649
BG0899K,RN100851625,FLOWERS BAKING CO OF SAN ANTONIO LLC,FLOWERS SAN ANTONIO BAKERY,BEXAR,13,2051,"BREAD, CAKE AND RELATED PRODUCTS",2020,4.2839,5.2078,0,0.5346,0.4905,0.0719,6.6107
BG1066M,RN100218338,WASTE MANAGEMENT OF TEXAS INC,COVEL GARDENS RPD FACILITY,BEXAR,13,4953,REFUSE SYSTEMS,2020,142.0531,28.2994,0,41.4333,18.4425,49.2738,29.389
BG1102K,RN100215854,BOEING COMPANY,BOEING - SAN ANTONIO,BEXAR,13,3721,AIRCRAFT,2020,1.0244,1.3602,0,0.0571,0.0571,0.0568,43.9705
BG1171O,RN102339231,STANDARD AERO SAN ANTONIO INC,STANDARD AERO SAN ANTONIO,BEXAR,13,3728,AIRCRAFT PARTS & EQUIPMENT NEC,2020,1.0987,1.629,0,0.8024,0.7932,0.0359,21.0165
BG1199P,RN100542828,NATIONS CABINETRY LLC,CABINET MFG FACILITY,BEXAR,13,2434,WOOD KITCHEN CABINETS,2020,6.1176,7.2829,0,2.9041,2.9036,0.0438,26.0311
BG1233R,RN100632629,BIO ENERGY AUSTIN LLC,TESSMAN RD LFG POWER STATION,BEXAR,13,4911,ELECTRIC SERVICES,2020,131.77,72.7,0,2.3,2.3,3.89,1.304
BG1306P,RN101966075,UNITED SERVICES AUTOMOBILE ASSOCIATION,NORTH & SOUTH PLANTS,BEXAR,13,6399,"INSURANCE CARRIERS, NEC",2020,6.6702,10.4902,0,2.6276,2.6276,0.0148,0.9507
BGA001A,RN104156062,BIO ENERGY TEXAS LLC,COVEL GARDENS LANDFILL GAS POWER STATION,BEXAR,13,4911,ELECTRIC SERVICES,2020,251.75,44.61,0,18.24,18.24,13.63,17.6586
BGA002B,RN105433890,TOYOTA MOTOR MANUFACTURING TEXAS INC,TOYOTA VEHICLE ASSEMBLY PLANT,BEXAR,13,3711,MOTOR VEHICLES AND CAR BODIES,2020,8.7506,11.3969,0,20.375,7.7963,0.1247,312.1124
BGA010J,RN104320064,TOYODA GOSEI TEXAS LLC,TOYODA GOSEI TEXAS,BEXAR,13,3714,MOTOR VEHICLE PARTS & ACCESSORIES,2020,8.4499,10.0575,0,0.77,0.77,0.0608,58.9461
BGA029C,RN105885446,AVANZAR INTERIOR TECHNOLOGIES LTD,BUILDING 41 EXPANSION,BEXAR,13,3714,MOTOR VEHICLE PARTS & ACCESSORIES,2020,0,0,0,0.01,0.01,0,35.071
BGA030D,RN101061000,VIA METROPOLITAN TRANSIT AUTHORITY,VIA METROPOLITAN TRANSIT AUTHORITY,BEXAR,13,4111,LOCAL AND SUBURBAN TRANSIT,2020,1.9134,2.564,0,0.2407,0.2141,0.3961,9.2466
BGA031E,RN103023800,STANDARD AERO SAN ANTONIO INC,STANDARD AERO SAN ANTONIO,BEXAR,13,3724,AIRCRAFT ENGINES & ENGINE PARTS,2020,2.4869,8.4227,0,0.756,0.756,0.4629,1.0499
BI0011W,RN100212299,WTG GAS PROCESSING LP,GOOD COMPRESSOR STATION,BORDEN,7,1311,CRUDE PETROLEUM & NATURAL GAS,2020,32.86,91.25,0,1.3,1.3,0.014,16.77
BJ0001T,RN100219856,LHOIST NORTH AMERICA OF TEXAS LLC,CHEMICAL LIME CLIFTON PLANT,BOSQUE,9,3274,LIME,2020,497.533,867.0529,0.0001,189.4483,57.1558,1301.271,19.7641
BJ0049O,RN100226232,CALPINE BOSQUE ENERGY CENTER LLC,BOSQUE COUNTY POWER PLANT WHITNEY,BOSQUE,9,4911,ELECTRIC SERVICES,2020,243.6952,263.2504,0,72.63,69.6335,9.2027,1.5843
BK0006V,RN102594892,WESTERN WASTE OF TEXAS LLC,NEW BOSTON LANDFILL,BOWIE,5,4953,REFUSE SYSTEMS,2020,26.1319,7.8488,0,9.1512,7.5012,17.061,3.6076
BK0025R,RN100224104,US DEPT OF THE ARMY,RED RIVER ARMY DEPOT,BOWIE,5,9711,NATIONAL SECURITY,2020,35.7816,38.6911,0,16.5636,2.5633,8.7949,65.5986
BK0036M,RN102248606,WEST FRASER WOOD PRODUCTS,NEW BOSTON LUMBER MILL,BOWIE,5,2421,SAWMILLS & PLANING MILLS GENERAL,2020,159.631,30.1174,0.0143,68.0143,35.2667,8.9273,458.4691
BK0051Q,RN100215250,TCI TEXARKANA INC,TEXARKANA FACILITY,BOWIE,5,3341,SECONDARY NONFERROUS METALS,2020,31.819,37.8935,0,10.7345,10.7315,0.2273,53.7899
BL0002S,RN100238708,INEOS USA LLC,CHOCOLATE BAYOU PLANT,BRAZORIA,12,2869,"INDUSTRIAL ORGANIC CHEMICALS, NEC",2020,510.1971,1099.2569,0,80.2059,73.7096,20.2349,485.3328
BL0003Q,RN102326972,INEOS USA LLC,STRATTON RIDGE FACILITY,BRAZORIA,12,5171,PETROLEUM BULK STATIONS & TERMINALS,2020,21.1182,5.0803,0,0.2589,0.255,0.1563,8.0035
BL0020Q,RN102206620,UNITED STATES DEPARTMENT OF ENERGY,BRYAN MOUND FACILITY,BRAZORIA,12,5171,PETROLEUM BULK STATIONS & TERMINALS,2020,0.1556,0.6947,0,0.0314,0.0314,0.0196,4.7933
BL0021O,RN100218049,BASF CORPORATION,FREEPORT SITE,BRAZORIA,12,2869,"INDUSTRIAL ORGANIC CHEMICALS, NEC",2020,155.3633,455.6073,0.0055,205.6658,163.386,182.6341,147.1436
BL0029V,RN100210129,GLADIEUX METALS RECYCLING LLC,GLADIEUX METALS RECYCLING,BRAZORIA,12,3341,SECONDARY NONFERROUS METALS,2020,0.8151,1.6728,0,1.0134,1.013,3.7525,0.803
BL0033H,RN101190221,DSM NUTRITIONAL PRODUCTS LLC,DSM NUTRITIONAL PRODUCTS,BRAZORIA,12,2834,PHARMACEUTICAL PREPARATIONS,2020,7.9891,3.6986,0,0.7496,0.4944,0.0533,6.9643
BL0035D,RN100212810,HC MANVEL INC,ALCOHOL PURIFICATION & ESTERS,BRAZORIA,12,2869,"INDUSTRIAL ORGANIC CHEMICALS, NEC",2020,10.0049,6.3265,0,3.8398,3.8398,1.7064,4.2015
BL0038U,RN100238682,ASCEND PERFORMANCE MATERIALS OPERATIONS LLC,ASCEND PERFORMANCE MATERIALS CHOCOLATE BAYOU PLANT,BRAZORIA,12,2869,"INDUSTRIAL ORGANIC CHEMICALS, NEC",2020,97.8924,296.9913,0,32.6345,32.1134,4.5315,68.8097
BL0039S,RN102185717,CHAMPIONX LLC,PETROCHEMICAL REFINING,BRAZORIA,12,2899,"CHEMICAL PREPARATIONS, NEC",2020,13.2801,1.9878,0,0.1766,0.1766,0.0514,3.4049
BL0040K,RN100917137,PACKAGING SERVICE COMPANY INC,PEARLAND FACILITY,BRAZORIA,12,7389,"BUSINESS SERVICES, NEC",2020,5.026,5.9796,0,0.2965,0.2965,0.0363,3.0006
BL0041I,RN100221134,PHILLIPS 66 COMPANY,FREEPORT TERMINAL,BRAZORIA,12,5171,PETROLEUM BULK STATIONS & TERMINALS,2020,2.2311,3.499,0.0012,1.3486,1.3486,0.6333,44.9366
BL0042G,RN101619179,PHILLIPS 66 COMPANY,SWEENY REFINERY PETROCHEM,BRAZORIA,12,2911,PETROLEUM REFINING,2020,317.3103,445.652,0.049,259.0355,236.1298,255.1597,318.6485
BL0043E,RN102414604,XOG RESOURCES LLC,BRAZORIA NATURAL GAS BOOSTER,BRAZORIA,12,1311,CRUDE PETROLEUM & NATURAL GAS,2020,0.072,0.086,0,0.007,0.007,0.001,18.4362
BL0044C,RN102200482,CHEVRON PHILLIPS CHEMICAL COMPANY LP,CLEMENS TERMINAL,BRAZORIA,12,4613,REFINED PETROLEUM PIPELINES,2020,15.8598,7.7944,0,0.4409,0.4343,0.1444,72.2404
BL0045A,RN100215177,VENCOREX US INC,FREEPORT PLANT,BRAZORIA,12,2869,"INDUSTRIAL ORGANIC CHEMICALS, NEC",2020,4.8,6.4,0,14.1841,7.0841,0.0347,9.616
BL0048R,RN100218999,SI GROUP INC,SI GROUP TX OPERATIONS,BRAZORIA,12,2865,"CYCLIC CRUDES AND INTERMEDIATES, AND ORGANIC DYES",2020,44.2118,87.1549,0,5.9964,5.6946,0.0831,51.0554
BL0050H,RN100221118,PHILLIPS 66 COMPANY,JONES CREEK TERMINAL,BRAZORIA,12,5171,PETROLEUM BULK STATIONS & TERMINALS,2020,0.055,0.255,0,0.0181,0.0181,0.0168,28.2448
BL0051F,RN100213198,SHINTECH INCORPORATED,SHINTECH FREEPORT PLANT,BRAZORIA,12,2821,PLASTICS MATERIALS AND SYNTHETIC RESINS,2020,2.57,23.7654,0,17.4868,17.3702,0.63,53.4936
BL0082R,RN100225945,DOW CHEMICAL COMPANY,DOW TEXAS OPERATIONS FREEPORT,BRAZORIA,12,2869,"INDUSTRIAL ORGANIC CHEMICALS, NEC",2020,903.9464,1498.6235,0.0072,346.1558,332.6553,12.2389,537.0337
BL0216U,RN100912302,TEXAS PETROLEUM INVESTMENT CO,MCFARLAND FACILITY,BRAZORIA,12,1311,CRUDE PETROLEUM & NATURAL GAS,2020,1.3304,0.3191,0,0.1853,0.1853,0.0054,2.2539
BL0249F,RN100542463,HOUSTON PIPELINE COMPANY LP,MANVEL COMPRESSOR STATION,BRAZORIA,12,4922,NATURAL GAS TRANSMISSION,2020,0.2641,2.5811,0,0.2603,0.2603,0.0153,3.9183
BL0265H,RN102607884,ENERGY TRANSFER FUEL LP,SWEENY COMPRESSOR STATION,BRAZORIA,12,1321,NATURAL GAS LIQUIDS,2020,7.8081,58.7469,0,1.0637,1.0637,0.5479,1.0114
BL0268B,RN100237668,EQUISTAR CHEMICALS LP,CHOCOLATE BAYOU POLYMERS,BRAZORIA,12,2821,PLASTICS MATERIALS AND SYNTHETIC RESINS,2020,31.4718,6.3249,0,3.6734,1.0802,0.0921,120.6383
BL0339D,RN100221092,PHILLIPS 66 COMPANY,SAN BERNARD TERMINAL,BRAZORIA,12,5171,PETROLEUM BULK STATIONS & TERMINALS,2020,1.5568,0.8845,0,0.0512,0.0512,0.0492,8.5778
BL0378Q,RN100223122,FREEPORT POWER LIMITED,OYSTER CREEK COGENERATION POWER UNIT 8,BRAZORIA,12,2869,"INDUSTRIAL ORGANIC CHEMICALS, NEC",2020,63.9541,389.856,0.0067,108.2483,108.2483,1.3423,16.669
BL0423N,RN102037959,TEXAS BARGE & BOAT INC,TEXAS BARGE & BOAT,BRAZORIA,12,3731,SHIP BUILDING AND REPAIRING,2020,0.1585,0.0794,0,0.8463,0.8344,0.001,15.9383
BL0432M,RN102572328,WHITE MARLIN OPERATING COMPANY LLC,CHOCOLATE BAYOU FIELD CENTRAL PRODUCTION SITE,BRAZORIA,12,1311,CRUDE PETROLEUM & NATURAL GAS,2020,14.5352,3.0219,0,0.1032,0.0032,0.2307,15.5551
BL0560C,RN103057568,SOLUTIA INC,CHOCOLATE BAYOU PLANT,BRAZORIA,12,2869,"INDUSTRIAL ORGANIC CHEMICALS, NEC",2020,5.5026,0,0,0,0,0,1.3788
BL0571U,RN101948883,ENTERPRISE CRUDE PIPELINE LLC,JONES CREEK STATION,BRAZORIA,12,4612,CRUDE PETROLEUM PIPE LINES,2020,0.508,0.3867,0,0.0439,0.0439,0.0689,20.5544
BL0622F,RN100217033,SWEENY COGENERATION LP,SWEENY COGENERATION FACILITY,BRAZORIA,12,4961,STEAM AND AIR CONDITIONING SUPPLY,2020,294.5331,745.7758,0,58.4771,58.4771,14.9011,6.7113
BL0626U,RN100215334,AIR LIQUIDE LARGE INDUSTRIES US LP,FREEPORT HYCO PLANT,BRAZORIA,12,2813,INDUSTRIAL GASES,2020,96.7527,9.9375,0,19.4952,19.4952,0.0008,2.1573
BL0675H,RN100217629,KINDER MORGAN TEJAS PIPELINE LP,STRATTON RIDGE STORAGE FACILITY,BRAZORIA,12,4923,GAS TRANSMISSION AND DISTRIBUTION,2020,4.8077,0.9887,0,0.0833,0.0833,0.0292,1.2264
